Season_Number,Startup_Name,Episode_Number,Pitch_Number,Season_Start,Season_End,Anchor,Industry,Business_Description,Started_in,Number_of_Presenters,Male_Presenters,Female_Presenters,Transgender_Presenters,Couple_Presenters,Pitchers_Average_Age,Pitchers_City,Pitchers_State,Yearly_Revenue(in_lakhs),Monthly_Sales(in_lakhs),Original_Ask_Amount,Original_Offered_Equity(in_%),Valuation_Requested(in_lakhs),Received_Offer,Accepted_Offer,Total_Deal_Amount(in_lakhs),Total_Deal_Equity(%),Number_of_Sharks_in_Deal,Namita_Investment_Amount(in lakhs),Vineeta_Investment_Amount(in_lakhs),Anupam_Investment_Amount(in_lakhs),Aman_Investment_Amount(in_lakhs),Peyush_Investment_Amount((in_lakhs),Amit_Investment_Amount(in_lakhs),Ashneer_Investment_Amount,Namita_Present,Vineeta_Present,Anupam_Present,Aman_Present,Peyush_Present,Amit_Present,Ashneer_Present
1,BluePineFoods,1,1,2021-12-20,2022-02-04,Rannvijay Singh,Food,Frozen Momos,2016,3,2,1,0,0,Middle,Delhi,Delhi,95,8,50,5,1000,Yes,Yes,75,16,3,0,25,0,25,0,0,25,Yes,Yes,Yes,Yes,No,No,Yes
1,BoozScooters,1,2,2021-12-20,2022-02-04,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,2017,1,1,0,0,0,Young,Ahmedabad,Gujarat,4,0.4,40,15,267,Yes,Yes,40,50,2,0,20,0,0,0,0,20,Yes,Yes,Yes,Yes,No,No,Yes
1,HeartUpMySleeves,1,3,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,2021,1,0,1,0,0,Young,Delhi,Delhi,Not Mentioned,2,25,10,250,Yes,Yes,25,30,2,0,12.5,12.5,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,TagzFoods,2,4,2021-12-20,2022-02-04,Rannvijay Singh,Food,Healthy Potato Chips Snacks,2019,2,2,0,0,0,Middle,Bangalore,Karnataka,700,Not Mentioned,70,1,7000,Yes,Yes,70,2.75,1,0,0,0,0,0,0,70,Yes,Yes,Yes,Yes,No,No,Yes
1,HeadAndHeart,2,5,2021-12-20,2022-02-04,Rannvijay Singh,Education,Brain Development Course,2015,4,1,3,0,1,Middle,Patiala,Punjab,30,Not Mentioned,50,5,1000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,Agritourism,2,6,2021-12-20,2022-02-04,Rannvijay Singh,Agriculture,Tourism,2005,2,1,1,0,1,Middle,Baramati,Maharashtra,79,Not Mentioned,50,5,1000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,qZenseLabs,3,7,2021-12-20,2022-02-04,Rannvijay Singh,Food,Food Freshness Detector,2020,2,0,2,0,0,Middle,"Delhi,Mohali","Delhi,Punjab",25,15,100,0.25,40000,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,Peeschute,3,8,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,2019,1,1,0,0,0,Young,Jalna,Maharashtra,100,Not Mentioned,75,4,1875,Yes,Yes,75,6,1,0,0,0,75,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,NOCD,3,9,2021-12-20,2022-02-04,Rannvijay Singh,Food,Energy Drink,2019,2,2,0,0,0,Middle,Bangalore,Karnataka,Not Mentioned,20,50,2,2500,Yes,Yes,20,15,1,0,20,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,CosIQ,4,10,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,2021,2,1,1,0,1,Middle,Delhi,Delhi,0,4,50,7.5,667,Yes,Yes,50,25,2,0,25,25,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,JhaJiAchaar,4,11,2021-12-20,2022-02-04,Rannvijay Singh,Food,Pickle,2021,2,0,2,0,0,Old,Darbhanga,Bihar,Not Mentioned,5,50,10,500,Yes,Yes,56.6,5.62,2,28.3,28.3,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,Bummer,4,12,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Underwear,2020,1,1,0,0,0,Young,Ahmedabad,Gujarat,36,15,75,4,1875,Yes,Yes,75,7.5,2,37.5,0,0,37.5,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
